,Iterations per Move,Starting Board,Strategy,Metric,Value
0,5,EB,minimax,draw,0.0
1,5,EB,minimax,win,0.85
2,5,EB,minimax,loss,0.19
3,5,EB,minimax,time,1.5698680877685547
4,10,EB,minimax,draw,0.0
5,10,EB,minimax,win,0.86
6,10,EB,minimax,loss,0.14
7,10,EB,minimax,time,1.7450087070465088
8,25,EB,minimax,draw,0.0
9,25,EB,minimax,win,0.96
10,25,EB,minimax,loss,0.04
11,25,EB,minimax,time,2.2985458374023438
12,50,EB,minimax,draw,0.0
13,50,EB,minimax,win,0.98
14,50,EB,minimax,loss,0.02
15,50,EB,minimax,time,2.8871829509735107
16,100,EB,minimax,draw,0.0
17,100,EB,minimax,win,1.0
18,100,EB,minimax,loss,0.0
19,100,EB,minimax,time,3.9104177951812744
20,200,EB,minimax,draw,0.0
21,200,EB,minimax,win,0.99
22,200,EB,minimax,loss,0.01
23,200,EB,minimax,time,5.684844255447388
24,500,EB,minimax,draw,0.0
25,500,EB,minimax,win,1.0
26,500,EB,minimax,loss,0.0
27,500,EB,minimax,time,8.62326693534851
28,1000,EB,minimax,draw,0.0
29,1000,EB,minimax,win,1.0
30,1000,EB,minimax,loss,0.0
31,1000,EB,minimax,time,15.349991083145142
32,5000,EB,minimax,draw,0.0
33,5000,EB,minimax,win,1.0
34,5000,EB,minimax,loss,0.01
35,5000,EB,minimax,time,30.22243571281433
36,5,EB,random-transition,draw,0.0
37,5,EB,random-transition,win,0.81
38,5,EB,random-transition,loss,0.15
39,5,EB,random-transition,time,1.5725030899047852
40,10,EB,random-transition,draw,0.0
41,10,EB,random-transition,win,0.83
42,10,EB,random-transition,loss,0.17
43,10,EB,random-transition,time,1.6864349842071533
44,25,EB,random-transition,draw,0.0
45,25,EB,random-transition,win,0.95
46,25,EB,random-transition,loss,0.05
47,25,EB,random-transition,time,2.243335723876953
48,50,EB,random-transition,draw,0.0
49,50,EB,random-transition,win,0.98
50,50,EB,random-transition,loss,0.02
51,50,EB,random-transition,time,3.016523838043213
52,100,EB,random-transition,draw,0.0
53,100,EB,random-transition,win,1.0
54,100,EB,random-transition,loss,0.0
55,100,EB,random-transition,time,4.0010340213775635
56,200,EB,random-transition,draw,0.0
57,200,EB,random-transition,win,0.99
58,200,EB,random-transition,loss,0.01
59,200,EB,random-transition,time,6.896723985671997
60,500,EB,random-transition,draw,0.0
61,500,EB,random-transition,win,1.0
62,500,EB,random-transition,loss,0.0
63,500,EB,random-transition,time,13.093568086624146
64,1000,EB,random-transition,draw,0.0
65,1000,EB,random-transition,win,1.0
66,1000,EB,random-transition,loss,0.0
67,1000,EB,random-transition,time,23.488913774490356
68,5000,EB,random-transition,draw,0.0
69,5000,EB,random-transition,win,1.0
70,5000,EB,random-transition,loss,0.0
71,5000,EB,random-transition,time,71.72144722938538
72,5,AB,minimax,draw,0.06
73,5,AB,minimax,win,0.78
74,5,AB,minimax,loss,0.16
75,5,AB,minimax,time,1.4834601879119873
76,10,AB,minimax,draw,0.05
77,10,AB,minimax,win,0.9
78,10,AB,minimax,loss,0.05
79,10,AB,minimax,time,1.3821790218353271
80,25,AB,minimax,draw,0.03
81,25,AB,minimax,win,0.93
82,25,AB,minimax,loss,0.04
83,25,AB,minimax,time,1.3354921340942383
84,50,AB,minimax,draw,0.04
85,50,AB,minimax,win,0.93
86,50,AB,minimax,loss,0.03
87,50,AB,minimax,time,1.3948800563812256
88,100,AB,minimax,draw,0.01
89,100,AB,minimax,win,0.98
90,100,AB,minimax,loss,0.01
91,100,AB,minimax,time,1.387472152709961
92,200,AB,minimax,draw,0.0
93,200,AB,minimax,win,0.97
94,200,AB,minimax,loss,0.03
95,200,AB,minimax,time,1.3844401836395264
96,500,AB,minimax,draw,0.0
97,500,AB,minimax,win,1.0
98,500,AB,minimax,loss,0.0
99,500,AB,minimax,time,1.4516100883483887
100,1000,AB,minimax,draw,0.0
101,1000,AB,minimax,win,1.0
102,1000,AB,minimax,loss,0.0
103,1000,AB,minimax,time,1.5028979778289795
104,5000,AB,minimax,draw,0.0
105,5000,AB,minimax,win,1.0
106,5000,AB,minimax,loss,0.0
107,5000,AB,minimax,time,2.6350858211517334
108,5,AB,random-transition,draw,0.04
109,5,AB,random-transition,win,0.77
110,5,AB,random-transition,loss,0.19
111,5,AB,random-transition,time,1.2459628582000732
112,10,AB,random-transition,draw,0.04
113,10,AB,random-transition,win,0.89
114,10,AB,random-transition,loss,0.07
115,10,AB,random-transition,time,1.2402050495147705
116,25,AB,random-transition,draw,0.04
117,25,AB,random-transition,win,0.91
118,25,AB,random-transition,loss,0.05
119,25,AB,random-transition,time,1.3447248935699463
120,50,AB,random-transition,draw,0.01
121,50,AB,random-transition,win,0.93
122,50,AB,random-transition,loss,0.06
123,50,AB,random-transition,time,1.423125982284546
124,100,AB,random-transition,draw,0.0
125,100,AB,random-transition,win,0.99
126,100,AB,random-transition,loss,0.01
127,100,AB,random-transition,time,1.523210048675537
128,200,AB,random-transition,draw,0.0
129,200,AB,random-transition,win,1.0
130,200,AB,random-transition,loss,0.0
131,200,AB,random-transition,time,1.5131890773773193
132,500,AB,random-transition,draw,0.0
133,500,AB,random-transition,win,0.99
134,500,AB,random-transition,loss,0.01
135,500,AB,random-transition,time,1.685967206954956
136,1000,AB,random-transition,draw,0.0
137,1000,AB,random-transition,win,1.0
138,1000,AB,random-transition,loss,0.0
139,1000,AB,random-transition,time,1.9219110012054443
140,5000,AB,random-transition,draw,0.0
141,5000,AB,random-transition,win,1.0
142,5000,AB,random-transition,loss,0.0
143,5000,AB,random-transition,time,3.730480194091797
