Node-Depth,0,1,2,3,4,5,6
D0,NA,NA,NA,NA,0.04997501249375309,NA,0.9779096829122818
D0,NA,NA,NA,NA,-0.3329633740288568,NA,0.9333911867690552
D0,0.012498437695288077,-3.9898639947466563e-17,0.058817762964415245,0.2560649875278689,0.09374267635340988,0.08870252399000081,-0.19994287346472434
D0,0.054939017690363745,4.336808689942018e-17,0.1533648242439113,0.2951718321737298,0.14284742534521452,0.10343935867597619,0.02468831008517465
D0,0.18237846676309669,0.12388284222635172,0.3746202176926933,0.16665509339629184,0.13042344143987475,0.05262465465070392,-0.03703017959637109
D0,0.11903344839900011,0.14284144599494553,0.08570204256534786,0.9194008739359965,0.19998400127989768,0.23416239478514017,0.17947184001367392
D0,-0.03921184197627687,0.06043623976704573,0.12582364822356862,0.31219557096504424,0.10121047730861096,0.06010600513633138,-0.12327078482399671
D0,NA,NA,NA,NA,0.9962112179741945,NA,0.9915140308989363
D0,NA,NA,NA,NA,2.7755575615628914e-17,NA,0.9795325450791632
D1,NA,NA,NA,NA,NA,NA,1
D3,NA,NA,NA,NA,NA,NA,1
D5,NA,NA,NA,NA,1,NA,NA
D1,NA,NA,NA,NA,1,NA,NA
D3,NA,NA,NA,NA,1,NA,NA
D1,NA,NA,NA,NA,NA,NA,1
D1,NA,NA,NA,NA,1,NA,NA
D1,NA,NA,NA,NA,NA,NA,1
D3,NA,NA,NA,NA,NA,NA,1
D1,NA,NA,NA,NA,NA,NA,1
D1,NA,NA,NA,NA,NA,NA,1
D5,NA,NA,NA,NA,NA,NA,1
D1,NA,NA,NA,NA,NA,NA,1
D3,NA,NA,NA,NA,NA,NA,1
D3,NA,NA,NA,NA,1,NA,NA
D3,NA,NA,NA,NA,1,NA,NA
D1,NA,NA,NA,NA,NA,NA,1
D3,NA,NA,NA,NA,1,NA,NA
D1,NA,NA,NA,NA,NA,NA,1
D3,NA,NA,NA,NA,NA,NA,1
D5,NA,NA,NA,NA,NA,NA,1
D1,NA,NA,NA,NA,NA,NA,1
D1,NA,NA,NA,NA,NA,NA,1
