,t=0,t=1,t=2,t=3,t=4,t=5,t=6,t=7,t=8,t=9,t=10,t=11,t=12,t=13,t=14,t=15,t=16,t=17,t=18,t=19,t=20,t=21,t=22,t=23,t=24,t=25,t=26,t=27,t=28,t=29,t=30,t=31,t=32,t=33,t=34,t=35,t=36,t=37,t=38,t=39,t=40,t=41,t=42,t=43,t=44,t=45,t=46,t=47,t=48,t=49,t=50,t=51,t=52,t=53,t=54,t=55,t=56,t=57,t=58,t=59,t=60
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,153.86385393012222,153.3978322526487,152.92710328550373,152.4516194803068,151.97133280839068,151.48619475595018,150.9961563191416,150.50116799913292,150.00117979710396,149.4961412091959,148.98600122141002,148.47070830445458,147.95021040854,147.4244549581212,146.89338884658707,146.35695843089604,145.8151095261576,145.2677874001592,144.71493676783757,144.15650178569453,143.5924260461561,143.02265257187486,142.4471238099746,141.86578162623698,141.27856729922928,140.68542151437302,140.08628435795254,139.48109531106317,138.86979324349815,138.2523164075739,137.62860243189283,136.97747624409772,136.29208025694498,135.5706107967842,134.81116925977284,134.01175711555035,133.17027064794775,132.2844954188924,131.35210044093935,130.37063204309405,129.33750741378321,128.25000780398233,127.10527137261298,125.90028565538209,124.63187963724431,123.2967154076256,121.891279376448,120.41187302784,118.85460318720001,117.21537177600003,115.26921472000002,112.83651840000002,109.79564800000001,105.99456,101.2432,95.304,87.88,78.6,67.0,49.0,0.0
2,289.91164094387835,289.20184140131147,288.4794591968803,287.74408233985787,286.9952796836193,286.2325999429703,285.4555706600139,284.66369711584974,283.85646118525744,283.03332013136594,282.19370533715306,281.337020970453,280.4626425789748,279.5699156116513,278.6581538624442,277.7266378325257,276.77461300654505,275.8012880384601,274.80583284217704,273.78737658199196,272.7450055575623,271.6777609778616,270.5846366182767,269.46457635469983,268.3164715681457,267.1391584130811,265.9314149422984,264.69195808078445,263.4194404406416,262.11244696869784,260.7694914180034,259.3901237955774,257.97423135024223,256.52179032674,255.0328756460541,253.5076713581859,251.94648192188265,250.34974436940846,248.71804141827528,247.0521155959164,245.2307676414497,243.2259576008165,241.0061291578674,238.5325900334887,235.7577676325498,232.62303068878083,229.05596851686403,224.96699238912004,220.24508968960004,214.75251916800005,208.37334528000005,201.00755200000003,192.560528,182.95202,172.12922500000002,159.6505,144.45,125.30000000000001,98.0,49.0,0.0
3,418.6490460626199,417.5673199921625,416.466681086651,415.34681786279805,414.2074251353864,413.0482054086715,411.86887039544297,410.6691426733163,409.44875748847727,408.2074647177989,406.94503100099087,405.6612420552297,404.3559051855589,403.02885200523826,401.6799413811748,400.3090626205774,398.9161389160528,397.501131067505,396.06404150041703,394.6049186013868,393.1238613931671,391.62102457292,390.0966239389539,388.550942232862,386.9843354257418,385.39723947903974,383.79017761255244,382.16376811422447,380.5187327286236,378.85590566335657,377.1275092246948,375.3118555819741,373.39626163990704,371.36487946819875,369.1978804237349,366.87043269012213,364.35142038218197,361.60183938537534,358.5727888771503,355.2029571974587,351.44600458646096,347.2510163328721,342.56223812662324,337.3196501499069,331.46012077924615,324.9193933018625,317.6352494981121,309.55231377536006,300.62911979680007,290.84826995400005,280.21700112250005,268.769363403125,255.9587363125,241.42389125,224.89024999999998,205.13,180.81,147.0,98.0,49.0,0.0
4,540.7501394136609,539.3387088568977,537.9109208448054,536.4669262649111,535.0069000085703,533.5310418296176,532.0395771682585,530.5327579311502,529.0108632176066,527.4741999807543,525.9231036112682,524.357938430007,522.7790980744517,521.187005762305,519.5821144139435,517.9649066135944,516.3358943871492,514.6956187723937,513.0446491551294,511.38358234216844,509.6985125794187,507.96788458104334,506.1856997415657,504.34438911874156,502.43440254199146,500.44369330772935,498.3570722315235,496.15539826084824,493.81456464390436,491.3042293890413,488.59840943012796,485.6700478921664,482.48849445523115,479.01939820198925,475.2247776465528,471.06336388566046,466.49134976153005,461.4637273555687,455.9364619751733,449.86983816960196,443.2257965653872,435.969491623516,428.0713049977391,419.5092187096971,410.27149319230983,400.3595181649216,389.790585331624,378.60015322069,366.73840198740004,353.75616539000004,339.5080230725,323.751916740625,306.409783125,286.395675,262.9011,234.36700000000002,196.0,147.0,98.0,49.0,0.0
5,658.9455886746082,657.3459507702772,655.7372681347757,654.1199177068738,652.4942870594161,650.8607736504582,649.2197839916266,647.5717327316518,645.9170416534437,644.2561385835853,642.5893973266645,640.8972620508288,639.176803044923,637.4242523655773,635.6347868534857,633.8022569134585,631.9188475450356,629.9746547381961,627.9571561339628,625.8505495819114,623.6385588325346,621.3062273954074,618.8363593088677,616.2093518563993,613.4030891850012,610.3929381543192,607.1519046350181,603.6510312285606,599.8601478747246,595.7491274961453,591.2868070126497,586.4409967927704,581.1791223771553,575.4690534209467,569.2801223645452,562.5843119842663,555.3575525399503,547.5810088360457,539.2421455512638,530.3352223966791,520.8625788545021,510.8358506622485,500.27698707837584,489.2189291705455,477.7057881651043,465.50762585751045,452.4321861406801,438.341742328367,423.0512332811953,406.5178082995312,388.5275935265625,368.3032703125,345.1967575,318.99784,286.55690000000004,245.0,196.0,147.0,98.0,49.0,0.0
6,775.6499003885958,773.9758877931754,772.2855427077753,770.5769489580006,768.8476144326467,767.0943246281938,765.3129597873357,763.4982665512566,761.6435727757098,759.7404313237408,757.7781898230098,755.7484217660551,753.6413264463381,751.4455949665282,749.1482969947889,746.7348070151214,744.1887968826428,741.4923324187545,738.6261264899524,735.5700207169625,732.3028861880695,728.802050886235,725.0434737805767,721.0020042616211,716.6517330307761,711.9664317498904,706.9200635286084,701.4873216036203,695.6441150358442,689.3678619207689,682.6381256477987,675.4374078615556,667.7519792326557,659.5727106855829,650.8958577658423,641.7237442112363,632.0652921290578,621.9363629523108,611.3599173025725,600.3660910290458,588.9919690726817,577.229878985992,564.8198977054775,551.6819576858254,537.6691258892906,522.6791643679414,506.658306490313,489.597994885207,471.1447564892187,450.77170467890625,428.01581583125,402.72836135,373.635437,337.78983000000005,294.0,245.0,196.0,147.0,98.0,49.0,0.0
7,891.5008580616052,889.6321006287127,887.718740108947,885.7541878966836,883.7308312626927,881.6399579213174,879.4717074548128,877.2150676807018,874.8579414069499,872.387318927752,869.7896012039374,867.049896063408,864.1520384676755,861.0786493429623,857.8112374300056,854.3303450337266,850.6157320714975,846.6465819846833,842.4016958583659,837.8596146437167,832.9987967576285,827.7979832254769,822.2366105867019,816.2952621679719,809.9561444522709,803.2035726278659,796.0244499026802,788.4087319774451,780.3498862128453,771.8453922858642,762.8972089453806,753.5121592163367,743.7022042122569,733.4845775939253,722.8817575509461,711.9212608858734,700.6352530750773,689.0599756057691,677.0523146921057,664.4987428183688,651.3100825275849,637.3532690499811,622.5635459277908,606.8844011350028,590.308010882694,572.8773897752532,554.0964730601934,533.5949512351797,511.0451459811406,486.318587283375,459.025054005,427.05067020000007,388.3528810000001,343.0,294.0,245.0,196.0,147.0,98.0,49.0,0.0
8,1005.4251253034855,1003.1233814721787,1000.7245418129867,998.2171302920624,995.5887050494047,992.8258918314265,989.9144379255798,986.8392804867992,983.5846152567616,980.1339393390139,976.4700238727829,972.5750558251266,968.4308101644892,964.018850369871,959.3207536048374,954.318355747615,948.9940116666443,943.3308690871345,937.3131623943265,930.9265493319789,924.1584874755665,916.9986135380888,909.4391142759354,901.4750773029261,893.1048105155899,884.3301199875207,875.1565375087307,865.5934888915519,855.6543895612285,845.3566388800696,834.7214963637418,823.773830650593,812.5417372601771,801.0560271767399,789.3037108213982,777.1250300174502,764.4656791402663,751.2225964280724,737.3142865935928,722.6765024725596,707.258420904469,691.05350267227,674.0865563039126,656.2887114728223,637.2694120629508,616.6614343506483,594.2263956411032,569.8578400470266,543.6705341129125,514.1584100485001,479.4695741500001,438.44701670000006,392.00000000000006,343.0,294.0,245.0,196.0,147.0,98.0,49.0,0.0
9,1115.8604712990089,1112.7947437557164,1109.5622942413988,1106.148585228733,1102.538555273565,1098.7167211340995,1094.6672919362295,1090.374294798587,1085.8217146840432,1080.9936585203004,1075.8745671821796,1070.449445021443,1064.7041037356812,1058.6254170771335,1052.2015829452075,1045.4223897446057,1038.2794842640958,1030.766638058336,1022.8800069743382,1014.6183713849281,1005.9833423622684,996.9795245683132,987.6146271414076,977.8995146010279,967.8481906223873,957.4777082811038,946.8080009741971,935.8616289948582,924.6634388532655,913.2401388465643,901.6197994672698,889.6907057531726,877.3863041724776,864.6410687086441,851.3611844940842,837.4883445968871,822.9620875350674,807.7448904388341,791.8229078939639,775.2094338901047,757.9522870362161,739.8510714001623,720.615586496412,699.9424615200016,677.6155109770524,653.5695876034565,627.9127795658097,600.0409717763038,568.2386596575501,531.0925754120001,488.21291169000006,441.00000000000006,392.00000000000006,343.0,294.0,245.0,196.0,147.0,98.0,49.0,0.0
